27347,18,0.0,0.0,31.46,0.0292207792207792,1,0,0,616,-245,0,0,0,0,1,0,0,0,0,1,0
22718,11,45.45454545,9.090909091,40.02,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24876,44,13.63636364,0.0,51.77,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3238,1,100.0,0.0,107.07,0.014099783,0,0,0,922,0,0,1,0,0,0,0,0,0,0,1,0
17123,35,11.42857143,2.857142857,40.02,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10725,16,0.0,0.0,51.43,0.0,0,0,0,0,-22,0,1,0,0,0,0,0,0,1,0,0
25699,0,0.0,0.0,90.02,0.0208333333333333,0,0,0,288,35,0,0,0,0,1,0,0,0,0,0,1
3793,51,25.49019608,3.921568627,47.03,0.077253219,0,1,0,233,-273,0,0,1,0,0,0,0,0,0,0,1
22174,26,11.53846154,3.846153846,35.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7535,46,2.173913043,0.0,39.55,0.019184652,0,0,0,417,-258,0,1,0,0,0,0,0,0,1,0,0
21713,11,45.45454545,9.090909091,31.02,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15652,43,18.60465116,6.976744186,51.59,0.071428571,1,0,0,28,-31,0,0,0,0,0,0,1,0,0,0,1
614,41,29.26829268,2.43902439,48.02,0.023121387,0,0,0,519,-40,1,0,0,0,0,0,0,0,1,0,0
21009,5,40.0,20.0,38.01,0.111111111,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27762,51,5.882352941,0.0,40.02,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
22490,26,50.0,19.23076923,50.11,0.114285714,1,1,0,35,0,0,0,0,0,1,0,0,0,0,1,0
20919,27,18.51851852,7.407407407,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7415,49,16.32653061,6.12244898,139.78,0.0,0,0,0,0,-286,1,0,0,0,0,0,0,0,1,0,0
25580,44,4.545454545,0.0,30.65,0.0,0,0,0,0,-24,1,0,0,0,0,0,0,0,1,0,0
2250,34,70.58823529,5.882352941,93.55,0.0,0,0,0,0,-22,0,0,0,0,0,1,0,0,0,1,0
7540,44,29.54545455,9.090909091,40.02,0.0,1,0,0,0,-244,0,1,0,0,0,0,0,0,0,1,0
12018,52,15.38461538,9.615384615,89.66,0.085714286,1,0,0,35,0,0,1,0,0,0,0,0,0,1,0,0
17049,24,79.16666667,4.166666667,83.8,0.19047619,1,0,0,21,0,0,1,0,0,0,0,0,0,0,1,0
2596,38,39.47368421,5.263157895,126.89,0.0,0,0,0,0,-219,0,0,1,0,0,0,0,1,0,0,0
17253,38,0.0,0.0,47.68,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27568,2,100.0,50.0,79.96,0.0,1,0,0,0,-9,0,0,0,0,0,1,0,0,0,0,1
